PANORAMA,Genel görünüm
EREZ,Acıbadem ağacı
KİM,Hangi kişi
RAKAM,Sayıları göstermek için kullanılan işaretlerden her biri
HE,Helyum simgesi
TN,Tunusun plaka imi
KEL,Saçı olmayan
AYA,Avuç içi
SONE,İki dörtlü ve iki üçlüden oluşan; on dört dizeli bir batı şiir türü
NARDENK,Nar pekmezi
ES,Notada duraklama
UCA,Kuyruksokumu kemiği
ANTİKOR,Hastalık etkenlerini zararsız duruma getirmek için vücudun çıkardığı madde
PERVANE,Geceleri ışık çevresinde dönen küçük kelebek
ARA,Fasıla
YASA,Kanun
NEKTAR,Yunan mitolojisinde; içenleri ölümsüzlüğe kavuşturan tanrı içkisi
OZAN,Şair
DUT,Bir meyve
SECİ,Nesirde yapılan kafiye
AK,Bir renk
KONAK,İzmir ilimizin ilçelerinden biri
MİHENK,Denek taşı
AMELE,İşçi; emekçi
ER,Rütbesiz asker
MENEMEN,İzmirin bir ilçesi
OBUR,Gereğinden çok yemek yiyen; doymak bilmeyen
VAN,Bir ilimiz
GAMET,Erkek veya dişi üreme hücresi
HE,Helyum (simgesi)
ATAK,Gol atmak veya sayı kazanmak amacıyla yapılan hücum; akın
LİF,Her türlü maddeyi oluşturan çok ince ve uzun parça
KAYA,Büyük ve sert taş kütlesi
İDARE,Yönetim
ES,Notada duraklama
ŞU,Bir gösterme sıfatı
ULU,Yüce
UTAH,ABDde bir eyalet
RET,Geri çevirme
MOGADİŞU,Somalinin başkenti
EBAT,Boyutlar
DUT,Bir meyve
NUMARA,Bir şeyin bir dizi içindeki yerini gösteren sayı; rakam
EREK,Amaç; gaye
RUH,Tin
KEL,Saçı dökülmüş olan
EV,Konut; hane
LA,Lantan (simgesi)
UR,Tümör
NAHİYE,Bucak
NEFASET,Nefis olma durumu
KASATURA,Süngü gibi; tüfeğin namlusu ucuna takılan veya bel kayışına asılı olarak taşınan bir çeşit bıçak
ELİT,Seçkin
MAS,Emme; soğurma
SAM,Çölde esen sıcak yel
MAYA,Ferment
EKABİR,Devlet büyükleri
NA,Sodyum (Simgesi)
AN,En kısa zaman
PE,Perunun plaka işareti
EDEBİYAT,Yazın; literatür
KAFA,Baş; ser
ARE,Ödünç mal
RE,Bir nota
ORAN,Nispet
KESENEK,Görevlilerin aylıklarından her ay belli oranda kesilip bir sosyal güvenlik kurumuna yatırılan para
ALAKADAR,İlgili
SİMA,Yüz; çehre; surat
EFE,Ege yiğidi
AT,Bir hayvan
BABA,Peder
MİNİ,Küçük
UMAR,Çare
YAR,Sevgili
RAY,Demiryolu
PARA,Devletçe bastırılan; üzerinde saymaca değeri yazılı kâğıt veya metalden ödeme aracı
ASALETEN,Bir görevde temelli olarak; asıl olarak; vekâleten karşıtı
TİPOLOJİ,İnsan tiplerini belirleme ve ayırt etme yöntemi
İLAVE,Ek
ES,Notada duraklama
REHAVET,Vücutta görülen gevşeklik; tembellik
ATA,Cet; dede
ANOT,Pozitif elektrot
Tİ,Titan simgesi
AZ,Yetersiz
Nİ,Nikel simgesi
ŞAHIS,Kimse; kişi; zat
LİR,Kirişli mitolojik çalgı
MAKİ,Akdeniz bitki örtüsü
AMAÇ,Erek; gaye
NAZ,İşve; cilve
TİRAT,Tiyatro oyununda oyuncuların bir defada söylediği parça
LA,Bir nota
İLETİŞİM,Haberleşme
PAHA,Eder; fiyat
ARA,Mesafe; uzaklık
OVA,Düz ve geniş arazi
AH,Beddua
LEVAZIM,Ordunun lojistik hizmetinde bulunan bütün malzeme veya bu malzemeyi sağlayan bölüm
EN,Genişlik
SAN,Unvan
JETON,“... geç düşmek” (Konuşulan veya sözü edilen konuyu geç anlamak)
KA,Kiloamper kısaltması
İS,Duman lekesi
TİTİZ,Temizliğe aşırı düşkün olan
ÇORUM,Bir ilimiz
Mİ,Müzikte bir nota
ULA,Muğla iline bağlı bir ilçe
İTAP,Paylama; azarlama
KAMAROT,Gemilerde yolcuların hizmetine bakan görevli
US,Akıl
DİREY,Belli bir bölgede yetişen hayvanların tümü; fauna
RIZA,Razı olma; isteme; istek
İMA,Dolaylı olarak anlatma
LEMAN,“Sam” soyadlı ünlü şarkıcımızın adı
SIK,Seyrek karşıtı
MODA,Değişiklik ihtiyacı veya süslenme özentisiyle toplum yaşamına giren geçici yenilik
UKALA,Bilgiçlik taslayan
OM,Kemiklerin toparlak ucu
ÇUKUR,Çevresine göre aşağı çökmüş olan (yer)
SU,Başlıca içeceğimiz
OLASILIK,İhtimal
RAM,Boyun eğen
ZEKA,Anlak
ADAM,Erkek kişi
MİRİ,Devlet hazinesi
AMA,Fakat; lakin
TORİNO,İtalyada bir kent
MATEM,Yas
DO,Müzikte bir nota
İP,Kalın sicim
YAŞAM,Ömür; hayat
ADAY,Namzet
DİŞ,Çark; testere; tarak gibi çentikli şeylerdeki çıkıntıların her biri
BELA,İçinden çıkılması güç; sakıncalı durum
ATU,İskambilde koz
ALATAV,Az tavlı
NİK,İyi; hoş
KESE,Küçük torba
ALAY,Askeri bir birlik
TAM,Eksiksiz
DAKİKA,Saatin altmışta biri
ADA,Her tarafı suyla çevrili olan kara parçası
AYAR,Değer derecesi
BOR,Niğdeye bağlı bir ilçe
SELE,Bisikletin oturulan yeri
ABANA,Kastamonuya bağlı bir ilçe
AB,Eski dilde su
DELİL,Kanıt
DO,Bir nota
ALAKADAR,İlgili
YAT,Özel gezinti gemisi
YA,Bir hayret ünlemi
AK,Bir renk
KAS,Adale
DAVETİYE,Çağrı kâğıdı
İT,Köpek
SAKAL,Bazı hayvanlarda çene altında bulunan kılların tümü
ŞU,Saka Türklerinin milli destanı
EMARE,Belirti; ipucu
SEHER,Tan ağartısı
GA,Galyum simgesi
ESER,Yapıt
TEZ,Sav; iddia
MEZAR,Kabir; sin
CA,Kalsiyum simgesi
EFEMİNE,Kadın gibi davranan ve kılık kıyafet bakımından kadına özenen erkek
YİYİCİ,Rüşvet alan
BALA,Yavru; çocuk
İN,Mağara
HAN,Eskişehirin bir ilçesi
ZA,Güney Afrikanın plaka işareti
EŞ,Hayat arkadaşı
BİTİK,Yorgunluk veya hastalıktan gücü kalmamış
SEMER,Eşek; katır gibi hayvanların sırtına yerleştirilen; üzerine yük bağlanan veya binilen; iskeleti ağaçtan yastık
HE,Helyum simgesi
ESEF,Acınma; yerinme
BAŞ,Kafa; ser
HEZEYAN,Bazı hastalıklarda görülen abuk sabuk konuşma; anlamsız davranışlarda bulunma gibi belirtiler gösteren ruh bozukluğu
ERAMİL,Dullar
RİYAZİ,Riyaziyeyle ilgili
Nİ,Nikel simgesi
AT,Satrançta bir taş
GECECİ,Çalışma sırası geceye rastlayan görevli
AZA,Üye
İNEK,Dişi sığır
ADANA,Bir ilimiz
AY,Dünyamızın uydusu
NASİHAT,Öğüt
AK,Bir renk
DUMAN,Bir rock müzik grubu
İRADE,Bir şeyi yapıp yapmamaya karar verme gücü
İKA,Yapma; etme
ULUS,Millet
NADİDE,Az görülür; görülmedik; seyrek görülen; çok değerli
ANU,Mezopotamya gök tanrısı
NE,Bir soru sözü
EĞRİ,Doğru; düz olmayan; bir noktasında yön değiştiren; çarpık
NOT,Kısa hatırlama yazısı
ANA,Çocuğu olan kadın; anne
İNCE,Kalın karşıtı
DAKİKA,Bir zaman ölçüsü birimi
AS,İskambilde birli
RADAR,Radyo dalgalarının yankısını alarak cisimlerin yerini ve uzaklığını bulabilen; genellikle uçak ve gemilerde kullanılan cihaz
NİDA,Ünlem
İNİ,Halk dilinde kayınbirader
AHUDUDU,Ağaççileği
AMELE,İşçi; emekçi
ATA,Cet; dede
NO,Numara (Kısa yazılışı)
NİSPET,Oran
CESARET,Güç veya tehlikeli bir işe girişirken kişinin kendinde bulduğu güven
ASALET,Soyluluk
NARA,Haykırma; bağırma
İKA,Yapma; etme
ARAKA,İri taneli bezelye
AD,İsim
VE,Bir bağlaç
AKALA,Bir tür pamuk
ATİ,Gelecek zaman; istikbal
İLİK,Kemiklerin iç boşluklarını dolduran yağlı madde
KERATA,Ayakkabı çekeceği
RİVAYET,Söylenti
CANAVAR,Masallarda adı geçen yabani; yırtıcı hayvan
ESARET,Tutsaklık; esirlik
SARA,Yilbik; tutarık; tutarga
İKİ,Bir sayı
ALAKA,İlgi
EV,Konut; hane
RE,Bir nota
AKİRA,“... Kurosawa” (Japon sinemasının unutulmaz yönetmeni)
ETİ,Eski bir Anadolu uygarlığı
ALAY,Askeri bir birlik
KALİTE,Nitelik
SADAKAT,İçten bağlılık
COĞRAFYA,Bir yeryüzü parçasını; bir bölgeyi; bir ülkeyi belirleyen; niteleyen; fiziki; ekonomik; beşeri; siyasi gerçekliklerin tümü
UR,Neoplâzma
ATAOL,“... Behramoğlu” (Şair; yazar)
RASTIK,Kadınların kaşlarını veya saçlarını boyamak için sürdükleri siyah boya
KELİK,Eski ayakkabı
UZO,Yunan rakısı
IRAK,Ortadoğuda bir ülke
RİMİNİ,İtalyada bir kent
AT,Satranç oyununda; ‘L çizerek hareket eden taş
ZAR,Bir kumar aracı
AY,Yılın on iki bölümünden her biri
İMLA,Yazım
CURCUNA,Alaturka müzikte hızlı bir usul
ORA,O yer
TA,Tantal elementinin simgesi
SKOR,Müsabakanın sonucu
RATE,Yaşlı; geçimsiz; verimsiz
İP,Kalın sicim
ATILIM,Hamle
FAKİRİZM,Hint dervişliği
YO,Hayır
KANAL,İki kıyı arasındaki dar ve derin deniz
ALİ,“... Sürmeli” (Aktör)
KİRA,İcar
YAZ,İlkbaharla sonbahar arasındaki mevsim
BÖRK,Hayvan postundan yapılan başlık
ANAKARA,Kıta
KARANFİL,Bir çiçek
UFKİ,Yatay
MARİA,“... Sharapova” (Tenisçi)
EK,İlave
İL,Vilayet
ULU,Yüce
ZA,Güney Afrikanın plakası
EKLEM,Mafsal
NO,Numara (Kısaca)
RAM,Boyun eğen
YAKAMOZ,Denizde balıkların veya küreklerin kımıldanışıyla oluşan parıltı
ANA,Valide
AN,En kısa zaman
ZARURİ,Mecburi; zorunlu
KAFİLE,Birlikte yolculuk eden topluluk
BANKA,Faizle para alıp veren; kredi; ıskonto; kambiyo işlemleri yapan; kasalarında para; değerli belge; eşya saklayan ve daha başka ekonomik etkinliklerde bulunan kuruluş
KR,Kripton (Simge)
ÖRFİ,Örfle ilgili
ULA,Muğlanın bir ilçesi
RAİ,Çoban
ELEM,Acı; üzüntü; keder
LOKUM,Bir tür şekerleme
RİYAZİYE,Matematik
EN,Hayvana veya eşyaya vurulan damga
YAŞAM,Hayat
AVM,Alış Veriş Merkezi (Kısa yazılışı)
BU,Bir işaret sıfatı
AYNA,Varlıkların görüntüsünü veren sırlı cam
MA,Su; ab
ALA,Karışık renkli
Nİ,Nikelin simgesi
İL,Vilayet
IRA,Karakter; seciye
ARKA,Geri; art; peş
AL,Aldatma işi; hile
OVA,Düz ve geniş arazi; yazı
RİNA,Tırpana balığı
REVANİ,Yumurta ve irmikle yapılan; fırında kabarıp piştikten sonra üzerine şerbet dökülen bir tür tatlı
İN,Mağara
LAV,Yanardağ ifrazatı
ANA,Valide; anne
RA,Radyum (Simgesi)
AYVALIK,Balıkesirin bir ilçesi
ZAM,Bir ürünün fiyatını artırma
ARAR,Dağservisi
İŞ,Çalışma
YABAN,İnsan yaşamayan ıssız yer
AN,En kısa zaman
EMU,Koşucu devekuşu
İMLA,Yazım
AKÜ,Akımtoplar
HOBİ,Düşkü; aşırı ölçüde uğraşı alanı
LÜNET,Gözlük camı
EŞ,Hayat arkadaşı
AL,Kızıl alev rengi
AZ,Yetersiz
GÜLSEREN,“... Akdaş” (“Küstüm Çiçeği” adlı kitabın yazarı; şair)
ÜSTELEME,Bir isteği; bir buyruğu tekrarlama; tekit
NT,Briçte sanzatunun kısaltması
NEKES,Cimri
ÜS,Harekâtın yürütülebilmesi için gerekli birliklerin; her türlü gereçlerin tamamlandığı; teçhizatın toplandığı; dağıtıldığı bölge
MALİ,Afrikada bir ülke
İRADE,İstenç
İL,Vilayet
ALAGÜN,Yazın güneş bulut arkasında kaldığında oluşan gölgeli durum
KÜLÜSTÜR,Yıpranmış; eski görünüşlü olan
ÜN,Şöhret
LT,Litrenin kısaltması
SA,Eski bir tahıl ölçeği
EKSEN,Mihver
HT,‘HABERTÜRKün kısaltması
ELEME,Elekten geçirme
AREKA,Bir palmiye türü
BEZEMELİ,Süslü; dekoratif
İŞ,Bir değer yaratan emek
NESİL,Jenerasyon


https://azvision.az/crossword.php?id=23